Logfilename,Datum,Zeit,Severity,Type/Source,Description
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\manager.log,Mon 24.Feb. ,09:52:22.246,error,service 10.4.0.157:27103 disconnected unexpectedly,
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Tue 28.Oct. ,02:41:51.680,warning,automatically reloaded texture 'srv://192.168.210.2/SHM/warp_22697_11.pfm' disappeared,
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Tue 28.Oct. ,07:15:31.334,warning,display sync timed out (192.168.210.6 / Output 1),
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Tue 28.Oct. ,07:16:00.066,warning,24x similar to 'display sync timed out (192.168.210.6 / Output 1)',
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Tue 28.Oct. ,07:16:01.485,fatal,DISPLAY SYNC DEADLOCKED,
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Tue 28.Oct. ,07:16:02.486,warning,2x similar to 'display sync timed out (192.168.210.6 / Output 1)',
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Tue 28.Oct. ,07:16:02.486,warning,closing window during swap,
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Tue 28.Oct. ,07:26:45.604,warning,26x similar to 'display sync timed out (192.168.210.6 / Output 1)',
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Wed 29.Oct. ,00:41:44.760,warning,20x similar to 'display sync timed out (192.168.210.6 / Output 1)',
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Wed 29.Oct. ,00:41:50.828,warning,6x similar to 'display sync timed out (192.168.210.6 / Output 1)',
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Wed 29.Oct. ,00:44:48.894,fatal,WATCHDOG TIMEOUT,
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Wed 29.Oct. ,16:09:40.030,warning,15x similar to 'display sync timed out (192.168.210.6 / Output 1)',
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Wed 29.Oct. ,16:09:51.126,warning,11x similar to 'display sync timed out (192.168.210.6 / Output 1)',
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Sat 01.Nov. ,06:52:53.550,warning,automatically reloaded texture 'srv://192.168.210.2/SHM/warp_0_3.pfm' disappeared,
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Sat 01.Nov. ,06:52:53.551,warning,automatically reloaded texture 'srv://192.168.210.2/SHM/warp_0_10.pfm' disappeared,
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Sat 01.Nov. ,21:05:47.902,error,End of file,
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Sun 02.Nov. ,01:00:01.134,warning,System time changed!,
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Sun 02.Nov. ,22:46:17.734,warning,10x similar to 'display sync timed out (192.168.210.6 / Output 1)',
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Sun 02.Nov. ,22:46:34.203,warning,16x similar to 'display sync timed out (192.168.210.6 / Output 1)',
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Mon 03.Nov. ,12:42:13.149,warning,4x similar to 'display sync timed out (192.168.210.6 / Output 1)',
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Mon 03.Nov. ,12:42:35.999,warning,22x similar to 'display sync timed out (192.168.210.6 / Output 1)',
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Wed 05.Nov. ,07:13:55.386,error,updating render task failed: importing texture memory failed,
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Wed 05.Nov. ,07:13:55.417,error,updating render task failed: importing semaphore failed,
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Wed 05.Nov. ,07:37:26.538,error,The I/O operation has been aborted because of either a thread exit or an application request.,
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Wed 05.Nov. ,08:59:54.293,warning,48x similar to 'display sync timed out (192.168.210.6 / Output 1)',
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Wed 05.Nov. ,09:00:54.406,warning,58x similar to 'display sync timed out (192.168.210.6 / Output 1)',
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Wed 05.Nov. ,09:01:54.509,warning,60x similar to 'display sync timed out (192.168.210.6 / Output 1)',
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Wed 05.Nov. ,09:06:55.047,warning,59x similar to 'display sync timed out (192.168.210.6 / Output 1)',
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Wed 05.Nov. ,09:11:55.609,warning,13x similar to 'display sync timed out (192.168.210.6 / Output 1)',
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Sat 08.Nov. ,00:22:49.406,warning,25x similar to 'display sync timed out (192.168.210.6 / Output 1)',
D:\Unconfirmed 536085 - Copy\PX4-26538-DUAL-04\rx_logs\playback-27103-1.log,Sun 09.Nov. ,23:44:33.908,warning,8x similar to 'display sync timed out (192.168.210.6 / Output 1)',
