Log-Kategorie,Ordner,Dateiname,Datum,Zeit,Severity,Type/Source,Description
rx_logs,,playback-27103-1.log,Sat 04.Oct. ,18:50:29.264,warning,RX process is running with elevated privileges!,
rx_logs,,playback-27103-1.log,Sun 12.Oct. ,05:12:46.890,warning,System time changed!,
rx_logs,,playback-27103-2.log,Wed 19.Feb. ,12:48:28.391,warning,loading module 'ModDatapath' failed: linking shared object failed,
rx_logs,,playback-27103-2.log,Thu 08.May. ,12:25:51.506,warning,"authenticating on '\\192.168.205.3\smb01' failed: Multiple connections to a server or shared resource by the same user, using more than one user name, are not allowed. Disconnect all previous connections to the server or shared resource and try again.",
rx_logs,,playback-27103-2.log,Fri 09.May. ,08:43:21.481,warning,authenticating on '\\192.168.205.3\smb01' failed: The network path was not found.,
rx_logs,,playback-27103-2.log,Fri 09.May. ,10:59:06.267,warning,"authenticating on '\\192.168.205.3\smb02' failed: Multiple connections to a server or shared resource by the same user, using more than one user name, are not allowed. Disconnect all previous connections to the server or shared resource and try again.",
rx_logs,,playback-27103-2.log,Wed 21.May. ,10:22:01.566,warning,authenticating on '\\192.168.205.3\smb02' failed: The network path was not found.,
rx_logs,,playback-27103-2.log,Wed 28.May. ,13:04:03.275,warning,"authenticating on '\\192.168.205.2\smb01' failed: Multiple connections to a server or shared resource by the same user, using more than one user name, are not allowed. Disconnect all previous connections to the server or shared resource and try again.",
rx_logs,,playback-27103-2.log,Tue 29.Jul. ,11:27:46.837,warning,authenticating on '\\192.168.205.2\smb01' failed: The network path was not found.,
rx_logs,,utility-27110-1.log,Sat 04.Oct. ,08:42:27.986,error,transferring file from '\\192.168.200.5\DriveShareD\GH_Integration_Delivery\SKIE_A\GH_DP4_SKIE_A_5760X1416_202510021510.mov' to '<preview>\\192.168.200.5\DriveShareD\GH_Integration_Delivery\SKIE_A\GH_DP4_SKIE_A_5760X1416_202510021510.mov' failed: copying failed (LocalHost: unable to init copy request),
rx_logs,,utility-27110-1.log,Sat 04.Oct. ,08:42:27.988,error,transferring file from '\\192.168.200.5\DriveShareD\GH_Integration_Delivery\SKIE_A\GH_DP5_SKIE_A_5760X1416_202510021510.mov' to '<preview>\\192.168.200.5\DriveShareD\GH_Integration_Delivery\SKIE_A\GH_DP5_SKIE_A_5760X1416_202510021510.mov' failed: copying failed (LocalHost: unable to init copy request),
rx_logs,,utility-27110-1.log,Sat 04.Oct. ,08:42:27.993,error,transferring file from '\\192.168.200.5\DriveShareD\GH_Integration_Delivery\SKIE_B\GH_DP1_SKIE_B_5760X1416_202510021514.mov' to '<preview>\\192.168.200.5\DriveShareD\GH_Integration_Delivery\SKIE_B\GH_DP1_SKIE_B_5760X1416_202510021514.mov' failed: copying failed (LocalHost: unable to init copy request),
rx_logs,,utility-27110-1.log,Sat 04.Oct. ,08:42:27.995,error,transferring file from '\\192.168.200.5\DriveShareD\GH_Integration_Delivery\SKIE_B\GH_DP2_SKIE_B_5760X1416_202510021514.mov' to '<preview>\\192.168.200.5\DriveShareD\GH_Integration_Delivery\SKIE_B\GH_DP2_SKIE_B_5760X1416_202510021514.mov' failed: copying failed (LocalHost: unable to init copy request),
rx_logs,,utility-27110-1.log,Sat 04.Oct. ,08:42:27.997,error,transferring file from '\\192.168.200.5\DriveShareD\GH_Integration_Delivery\SKIE_B\GH_DP3_SKIE_B_5476X1416_202510021514.mov' to '<preview>\\192.168.200.5\DriveShareD\GH_Integration_Delivery\SKIE_B\GH_DP3_SKIE_B_5476X1416_202510021514.mov' failed: copying failed (LocalHost: unable to init copy request),
rx_logs,,utility-27110-1.log,Sat 04.Oct. ,08:42:28.000,error,transferring file from '\\192.168.200.5\DriveShareD\GH_Integration_Delivery\SKIE_B\GH_DP4_SKIE_B_5760X1416_202510021514.mov' to '<preview>\\192.168.200.5\DriveShareD\GH_Integration_Delivery\SKIE_B\GH_DP4_SKIE_B_5760X1416_202510021514.mov' failed: copying failed (LocalHost: unable to init copy request),
