Log-Kategorie,Ordner,Dateiname,Fehler-Kategorie,Datum,Zeit,Severity,Type/Source,Description
rx_logs,,file_1.log,Sonstige,Sat 04.Oct. ,18:50:29.264,warning,RX process is running with elevated privileges!,
rx_logs,,file_1.log,Zeitbezogen,Sun 12.Oct. ,05:12:46.890,warning,System time changed!,
rx_logs,,file_2.log,Modul,Wed 19.Feb. ,12:48:28.391,warning,loading module 'ModDatapath' failed: linking shared object failed,
rx_logs,,file_2.log,Netzwerk,Thu 08.May. ,12:25:51.506,warning,"authenticating on '\\10.0.0.2\share_0' failed: Multiple connections to a server or shared resource by the same user, using more than one user name, are not allowed. Disconnect all previous connections to the server or shared resource and try again.",
rx_logs,,file_3.log,Netzwerk,Sat 04.Oct. ,08:42:27.986,error,transferring file from '\\10.0.0.4\share_0\GH_Integration_Delivery\SKIE_A\GH_DP4_SKIE_A_5760X1416_202510021510.mov' to '<preview>\\10.0.0.4\share_0\GH_Integration_Delivery\SKIE_A\GH_DP4_SKIE_A_5760X1416_202510021510.mov' failed: copying failed (LocalHost: unable to init copy request),
rx_logs,,file_3.log,Datei,Sat 04.Oct. ,14:07:34.892,error,End of file,
rx_logs,,file_3.log,Datei,Sat 04.Oct. ,14:08:11.602,error,7x 'End of file',
rx_logs,,file_3.log,System,Sat 04.Oct. ,14:08:29.277,error,The I/O operation has been aborted because of either a thread exit or an application request.,
rx_logs,,file_3.log,Datei,Sat 04.Oct. ,14:08:41.323,error,The file handle supplied is not valid.,
rx_logs,,file_3.log,Netzwerk,Sat 04.Oct. ,14:08:41.676,error,An existing connection was forcibly closed by the remote host.,
rx_logs,,file_3.log,Datei,Sat 04.Oct. ,14:09:11.658,error,6x 'End of file',
rx_logs,,file_3.log,Datei,Sat 04.Oct. ,14:37:38.545,error,8x 'End of file',
rx_logs,,file_3.log,Datei,Sat 04.Oct. ,14:39:38.658,error,2x 'End of file',
rx_logs,,file_3.log,System,Sat 04.Oct. ,15:00:58.890,error,3x 'The I/O operation has been aborted because of either a thread exit or an application request.',
rx_logs,,file_3.log,System,Sat 04.Oct. ,15:37:58.694,error,7x 'The I/O operation has been aborted because of either a thread exit or an application request.',
rx_logs,,file_3.log,Netzwerk,Sat 04.Oct. ,17:09:47.232,error,5x 'An existing connection was forcibly closed by the remote host.',
rx_logs,,file_3.log,System,Sat 04.Oct. ,17:26:49.190,error,5x 'The I/O operation has been aborted because of either a thread exit or an application request.',
rx_logs,,file_3.log,Netzwerk,Sun 05.Oct. ,07:44:24.556,error,6x 'An existing connection was forcibly closed by the remote host.',
rx_logs,,file_3.log,Netzwerk,Sun 05.Oct. ,07:45:24.611,error,2x 'An existing connection was forcibly closed by the remote host.',
rx_logs,,file_3.log,Datei,Sun 05.Oct. ,11:26:37.108,error,3x 'End of file',
rx_logs,,file_3.log,System,Sun 05.Oct. ,18:41:50.870,error,9x 'The I/O operation has been aborted because of either a thread exit or an application request.',
rx_logs,,file_3.log,System,Mon 06.Oct. ,16:30:36.891,error,8x 'The I/O operation has been aborted because of either a thread exit or an application request.',
rx_logs,,file_3.log,System,Mon 06.Oct. ,19:39:33.103,error,4x 'The I/O operation has been aborted because of either a thread exit or an application request.',
rx_logs,,file_3.log,Netzwerk,Tue 07.Oct. ,08:42:18.699,error,4x 'An existing connection was forcibly closed by the remote host.',
rx_logs,,file_3.log,Netzwerk,Tue 07.Oct. ,10:21:22.287,error,11x 'An existing connection was forcibly closed by the remote host.',
rx_logs,,file_3.log,System,Tue 07.Oct. ,10:30:14.826,error,2x 'The I/O operation has been aborted because of either a thread exit or an application request.',
rx_logs,,file_3.log,Datei,Tue 07.Oct. ,10:53:08.034,error,14x 'End of file',
rx_logs,,file_3.log,Datei,Tue 07.Oct. ,10:54:08.212,error,15x 'End of file',
rx_logs,,file_3.log,System,Tue 07.Oct. ,10:59:30.494,error,6x 'The I/O operation has been aborted because of either a thread exit or an application request.',
